gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	captionID	pairID	label1	label2	label3	label4	label5
neutral	( ( two people ) ( ( are ( sitting ( on ( ( a rock ) ( looking ( at ( the horizon ) ) ) ) ) ) ) . ) )	( There ( ( is ( ( a couple ) ( ( holding hands ) ( while ( watching ( the horizon ) ) ) ) ) ) . ) )	(ROOT (S (NP (CD two) (NNS people)) (VP (VBP are) (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN rock)) (VP (VBG looking) (PP (IN at) (NP (DT the) (NN horizon)))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT a) (NN couple)) (VP (VBG holding) (NP (NNS hands)) (PP (IN while) (S (VP (VBG watching) (NP (DT the) (NN horizon)))))))) (. .)))	two people are sitting on a rock looking at the horizon.	There is a couple holding hands while watching the horizon.	508958120.jpg#2	508958120.jpg#2r1n	neutral				
contradiction	( ( two people ) ( ( are ( sitting ( on ( ( a rock ) ( looking ( at ( the horizon ) ) ) ) ) ) ) . ) )	( There ( ( is ( ( a man ) ( ( ( watching ( his ( last sunrise ) ) ) alone ) ( while ( sitting ( on ( a rock ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (CD two) (NNS people)) (VP (VBP are) (VP (VBG sitting) (PP (IN on) (NP (NP (DT a) (NN rock)) (VP (VBG looking) (PP (IN at) (NP (DT the) (NN horizon)))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT a) (NN man)) (VP (VBG watching) (NP (PRP$ his) (JJ last) (NN sunrise)) (ADVP (RB alone)) (PP (IN while) (S (VP (VBG sitting) (PP (IN on) (NP (DT a) (NN rock))))))))) (. .)))	two people are sitting on a rock looking at the horizon.	There is a man watching his last sunrise alone while sitting on a rock.	508958120.jpg#2	508958120.jpg#2r1c	contradiction				
contradiction	( ( ( A woman ) ( laughing ( at ( a man ) ) ) ) . )	( ( ( A woman ) crying ) . )	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG laughing) (PP (IN at) (NP (DT a) (NN man)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG crying)) (. .)))	A woman laughing at a man.	A woman crying.	297019770.jpg#4	297019770.jpg#4r1c	contradiction				
entailment	( ( ( A woman ) ( laughing ( at ( a man ) ) ) ) . )	( ( ( A woman ) laughing ) . )	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG laughing) (PP (IN at) (NP (DT a) (NN man)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG laughing)) (. .)))	A woman laughing at a man.	A woman laughing.	297019770.jpg#4	297019770.jpg#4r1e	entailment				
neutral	( ( ( A woman ) ( laughing ( at ( a man ) ) ) ) . )	( ( ( A woman ) ( laughing ( at ( a ( mans joke ) ) ) ) ) . )	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG laughing) (PP (IN at) (NP (DT a) (NN man)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG laughing) (PP (IN at) (NP (DT a) (JJ mans) (NN joke)))) (. .)))	A woman laughing at a man.	A woman laughing at a mans joke.	297019770.jpg#4	297019770.jpg#4r1n	neutral				
entailment	( ( ( The man ) ( in ( the ( black shirt ) ) ) ) ( ( made ( the ( lady laugh ) ) ) . ) )	( ( The man ) ( ( made ( a ( lady laugh ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN man)) (PP (IN in) (NP (DT the) (JJ black) (NN shirt)))) (VP (VBD made) (NP (DT the) (NN lady) (NN laugh))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBD made) (NP (DT a) (NN lady) (NN laugh))) (. .)))	The man in the black shirt made the lady laugh.	The man made a lady laugh.	297019770.jpg#3	297019770.jpg#3r1e	entailment				
contradiction	( ( ( The man ) ( in ( the ( black shirt ) ) ) ) ( ( made ( the ( lady laugh ) ) ) . ) )	( ( The girl ) ( ( ( did n't ) ( like ( the joke ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN man)) (PP (IN in) (NP (DT the) (JJ black) (NN shirt)))) (VP (VBD made) (NP (DT the) (NN lady) (NN laugh))) (. .)))	(ROOT (S (NP (DT The) (NN girl)) (VP (VBD did) (RB n't) (VP (VB like) (NP (DT the) (NN joke)))) (. .)))	The man in the black shirt made the lady laugh.	The girl didn't like the joke.	297019770.jpg#3	297019770.jpg#3r1c	contradiction				
neutral	( ( ( The man ) ( in ( the ( black shirt ) ) ) ) ( ( made ( the ( lady laugh ) ) ) . ) )	( ( The man ) ( ( told ( a ( funny joke ) ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN man)) (PP (IN in) (NP (DT the) (JJ black) (NN shirt)))) (VP (VBD made) (NP (DT the) (NN lady) (NN laugh))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBD told) (NP (DT a) (JJ funny) (NN joke))) (. .)))	The man in the black shirt made the lady laugh.	The man told a funny joke.	297019770.jpg#3	297019770.jpg#3r1n	neutral	neutral	entailment	neutral	neutral
neutral	( ( ( A girl ) ( in ( a ( black t-shirt ) ) ) ) ( ( laughs ( at ( ( a man ) ( in ( ( a ( black t-shirt ) ) ( who ( is ( telling ( a story ) ) ) ) ) ) ) ) ) . ) )	( He ( tells ( ( a story ) ( about ( his childhood ) ) ) ) )	(ROOT (S (NP (NP (DT A) (NN girl)) (PP (IN in) (NP (DT a) (JJ black) (NN t-shirt)))) (VP (VBZ laughs) (PP (IN at) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN t-shirt)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG telling) (NP (DT a) (NN story))))))))))) (. .)))	(ROOT (S (NP (PRP He)) (VP (VBZ tells) (NP (NP (DT a) (NN story)) (PP (IN about) (NP (PRP$ his) (NN childhood)))))))	A girl in a black t-shirt laughs at a man in a black t-shirt who is telling a story.	He tells a story about his childhood	297019770.jpg#1	297019770.jpg#1r1n	neutral				
contradiction	( ( ( A girl ) ( in ( a ( black t-shirt ) ) ) ) ( ( laughs ( at ( ( a man ) ( in ( ( a ( black t-shirt ) ) ( who ( is ( telling ( a story ) ) ) ) ) ) ) ) ) . ) )	( He ( eats ( a pizza ) ) )	(ROOT (S (NP (NP (DT A) (NN girl)) (PP (IN in) (NP (DT a) (JJ black) (NN t-shirt)))) (VP (VBZ laughs) (PP (IN at) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN t-shirt)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG telling) (NP (DT a) (NN story))))))))))) (. .)))	(ROOT (S (NP (PRP He)) (VP (VBZ eats) (NP (DT a) (NN pizza)))))	A girl in a black t-shirt laughs at a man in a black t-shirt who is telling a story.	He eats a pizza	297019770.jpg#1	297019770.jpg#1r1c	contradiction				
